               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11587,            0.032281,            0.089961,           0.0015122,             0.14943,           0.0037605,          0.00081777,             0.06054,            0.021965,            0.060027,              0.0973,              0.0003,              0.0003
                   1,             0.11238,            0.031402,            0.091292,            0.001582,             0.16667,           0.0035213,           0.0010748,            0.057585,            0.020655,            0.059861,            0.093698,          0.00069769,          0.00069769
                   2,              0.1022,            0.031302,            0.092832,           0.0017471,             0.26437,           0.0079941,            0.001769,            0.053455,            0.019003,            0.059577,            0.090093,           0.0010927,           0.0010927
                   3,            0.085216,            0.030233,            0.089208,           0.0015197,              0.3046,           0.0055513,           0.0013673,            0.048781,            0.017816,            0.059341,            0.086485,           0.0014851,           0.0014851
                   4,            0.077622,            0.028177,            0.088486,           0.0023823,             0.59195,            0.010266,           0.0030036,            0.042156,            0.016836,             0.05882,            0.082875,           0.0018749,           0.0018749
                   5,            0.071083,            0.026544,            0.088317,           0.0021083,                 0.5,            0.018832,           0.0033333,            0.037467,            0.015583,            0.057969,            0.079262,           0.0022621,           0.0022621
                   6,            0.064412,            0.027069,            0.086023,           0.0023745,             0.52299,            0.026969,           0.0075298,            0.034576,            0.015147,            0.057709,            0.075647,           0.0026465,           0.0026465
                   7,            0.058682,            0.025691,            0.084498,          0.00071088,             0.22989,            0.001259,          0.00034948,            0.040853,            0.015286,            0.057851,            0.072028,           0.0030284,           0.0030284
                   8,            0.057193,            0.024412,            0.084796,           0.0012505,             0.37356,            0.012301,           0.0033831,            0.040455,            0.015344,            0.057732,            0.068408,           0.0034076,           0.0034076
                   9,            0.056383,            0.025026,            0.084096,           0.0013699,             0.45977,           0.0043141,            0.001101,             0.03596,            0.015803,            0.057354,            0.064784,           0.0037842,           0.0037842
                  10,             0.05863,            0.023015,            0.084055,           0.0019932,             0.52874,           0.0082607,            0.001992,            0.040753,            0.012348,            0.057117,            0.061158,           0.0041581,           0.0041581
                  11,            0.054352,             0.02287,            0.085064,           0.0037227,             0.84483,            0.029619,           0.0091233,             0.03435,            0.010615,            0.056361,            0.057529,           0.0045294,           0.0045294
                  12,            0.054043,            0.020964,              0.0838,           0.0036749,             0.91379,            0.050147,            0.017268,            0.035123,             0.01009,            0.055911,            0.053898,            0.004898,            0.004898
                  13,            0.055558,            0.020641,            0.082389,           0.0044437,              0.8046,            0.078945,             0.02293,            0.039251,           0.0076828,            0.056171,            0.050264,            0.005264,            0.005264
                  14,            0.047651,            0.018845,            0.074173,           0.0050758,             0.44253,             0.02299,           0.0050166,            0.047719,           0.0068331,            0.056171,            0.046627,           0.0056274,           0.0056274
                  15,            0.049767,            0.019723,            0.080715,           0.0068966,            0.017241,           0.0074483,          0.00074483,            0.040545,            0.012335,            0.056526,            0.042988,           0.0059881,           0.0059881
                  16,            0.056151,            0.017836,            0.080876,                   0,                   0,                   0,                   0,            0.048205,             0.01158,            0.056621,            0.039346,           0.0063462,           0.0063462
                  17,            0.047968,             0.01706,            0.076139,           0.0062151,             0.33333,            0.049719,            0.021229,            0.036978,             0.01022,            0.055627,            0.035702,           0.0067017,           0.0067017
