               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093293,            0.030838,             0.07867,           0.0014853,             0.23563,           0.0097371,           0.0016128,            0.051303,            0.021443,            0.059468,              0.0892,              0.0012,              0.0012
                   1,            0.080747,             0.02875,            0.080481,           0.0014816,             0.33908,           0.0051416,           0.0012997,            0.043151,            0.019801,            0.058564,            0.077494,           0.0024938,           0.0024938
                   2,            0.073287,              0.0269,            0.083921,          0.00041059,             0.11494,          0.00049839,          7.1942e-05,            0.047581,            0.017349,            0.059177,            0.065781,           0.0037812,           0.0037812
                   3,            0.056484,            0.025267,            0.075552,          0.00019858,             0.08046,          0.00082718,          9.7533e-05,            0.054021,            0.013699,            0.059244,            0.054062,           0.0050621,           0.0050621
                   4,            0.058374,            0.024679,            0.077874,          0.00075748,             0.28736,           0.0015113,          0.00035224,            0.046071,            0.012342,            0.058061,            0.042337,           0.0063366,           0.0063366
                   5,             0.05064,            0.022119,            0.074976,             0.00164,             0.51724,            0.011097,           0.0027061,            0.036268,             0.01397,            0.057132,            0.030605,           0.0076047,           0.0076047
                   6,            0.055951,            0.021115,            0.077327,          0.00031899,             0.12069,           0.0016572,          0.00051451,            0.053282,            0.012673,            0.057488,            0.018866,           0.0088663,           0.0088663
                   7,            0.059347,            0.021341,            0.084156,          0.00015355,            0.068966,           0.0010266,           0.0001974,            0.053571,            0.015527,            0.057518,           0.0098268,           0.0098268,           0.0098268
                   8,            0.058773,            0.020561,            0.082783,          0.00038799,            0.051724,          0.00091381,          0.00029536,            0.057142,           0.0085475,            0.056953,           0.0098268,           0.0098268,           0.0098268
                   9,            0.048501,            0.020044,            0.082684,           0.0006961,             0.16092,           0.0011801,           0.0003351,            0.048619,             0.01143,             0.05647,            0.009802,            0.009802,            0.009802
                  10,            0.051516,            0.018077,            0.078292,           0.0010434,             0.27586,            0.026212,           0.0054503,            0.045275,            0.011577,            0.055419,           0.0097773,           0.0097773,           0.0097773
                  11,             0.05036,            0.017568,            0.078722,           0.0020068,             0.32759,            0.044656,            0.017991,            0.037445,            0.011989,            0.055128,           0.0097525,           0.0097525,           0.0097525
                  12,            0.049616,            0.017149,            0.078476,           0.0018116,             0.48276,            0.037916,            0.014981,            0.034684,            0.012605,            0.054455,           0.0097278,           0.0097278,           0.0097278
                  13,            0.043251,            0.016284,            0.070845,           0.0058426,             0.75862,            0.065364,             0.01961,            0.034498,            0.010049,            0.054726,            0.009703,            0.009703,            0.009703
                  14,            0.050083,            0.015089,            0.074927,            0.013888,             0.75862,            0.088487,            0.032044,            0.030667,            0.010201,             0.05451,           0.0096783,           0.0096783,           0.0096783
                  15,            0.046385,            0.014976,            0.075598,            0.005057,             0.51724,             0.07753,            0.032631,            0.043068,            0.010622,            0.053883,           0.0096535,           0.0096535,           0.0096535
                  16,            0.045905,            0.014243,            0.072338,           0.0031288,             0.29885,            0.035909,            0.008859,            0.040116,             0.01327,            0.054361,           0.0096288,           0.0096288,           0.0096288
                  17,             0.04355,            0.014448,            0.072772,          0.00042352,             0.08046,           0.0015609,           0.0002994,            0.038884,            0.016379,            0.054903,            0.009604,            0.009604,            0.009604
                  18,            0.037961,            0.016117,            0.073246,            0.002715,             0.50575,             0.08415,            0.045788,            0.035183,            0.011826,             0.05452,           0.0095793,           0.0095793,           0.0095793
                  19,            0.041627,            0.014174,            0.075802,           0.0021038,             0.40805,            0.040459,            0.019063,            0.037504,            0.012566,            0.055862,           0.0095545,           0.0095545,           0.0095545
                  20,            0.044246,            0.013732,            0.074585,           0.0029064,              0.5977,             0.10382,             0.04601,            0.037472,            0.010057,            0.054536,           0.0095298,           0.0095298,           0.0095298
                  21,            0.040671,            0.014052,            0.074404,            0.029146,             0.43678,             0.13633,            0.047396,            0.038452,           0.0089308,            0.053915,            0.009505,            0.009505,            0.009505
                  22,            0.044055,            0.014605,            0.078475,             0.68498,            0.030941,             0.18279,            0.091007,            0.027142,           0.0079354,            0.053389,           0.0094803,           0.0094803,           0.0094803
