               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097096,            0.032387,            0.058882,          0.00057741,            0.074074,          0.00066841,          0.00021765,            0.074235,            0.021204,            0.043961,              0.0991,              0.0001,              0.0001
                   1,            0.097206,            0.030445,             0.05586,          0.00053496,            0.074074,          0.00074911,          0.00022364,            0.072678,            0.020967,            0.043839,            0.097297,          0.00029703,          0.00029703
                   2,            0.079175,            0.026709,            0.044694,          0.00050717,            0.074074,          0.00081201,          0.00022381,             0.07185,            0.021004,            0.043716,             0.09549,           0.0004901,           0.0004901
                   3,            0.075908,            0.025994,            0.045661,          0.00070305,             0.11111,             0.00121,           0.0002963,             0.06904,            0.020727,            0.043594,            0.093679,          0.00067921,          0.00067921
                   4,             0.11547,            0.030554,            0.071502,          0.00090882,             0.14815,           0.0023625,          0.00045025,            0.065231,            0.020573,            0.043411,            0.091864,          0.00086436,          0.00086436
                   5,            0.091558,            0.026308,             0.05563,            0.001546,             0.24074,           0.0041118,          0.00095108,            0.059998,            0.020273,            0.043228,            0.090046,           0.0010455,           0.0010455
                   6,            0.067837,            0.026545,            0.046832,           0.0012838,             0.31481,            0.013881,           0.0038819,            0.054496,            0.020123,             0.04303,            0.088223,           0.0012228,           0.0012228
                   7,            0.077883,            0.028376,            0.057885,           0.0019369,             0.46296,            0.014947,           0.0054157,             0.04928,            0.020056,            0.042877,            0.086396,            0.001396,            0.001396
                   8,            0.077587,            0.025092,            0.056439,           0.0034181,             0.63889,            0.031642,            0.010125,             0.04648,            0.019985,            0.043991,            0.084565,           0.0015654,           0.0015654
                   9,            0.070668,            0.032133,            0.050681,           0.0027666,             0.66667,            0.051061,            0.012279,            0.043157,            0.019949,            0.044327,            0.082731,           0.0017307,           0.0017307
                  10,            0.073191,            0.028711,            0.056712,           0.0025622,             0.55556,            0.059743,            0.014184,            0.039634,            0.019683,            0.044495,            0.080892,           0.0018921,           0.0018921
                  11,            0.073404,            0.024534,            0.055486,           0.0029322,             0.61111,            0.060319,            0.020056,             0.03944,            0.019379,              0.0448,             0.07905,           0.0020495,           0.0020495
                  12,            0.054075,            0.026419,            0.055383,           0.0026413,             0.57407,             0.11611,            0.041097,            0.040703,            0.018785,            0.044632,            0.077203,            0.002203,            0.002203
                  13,            0.085465,            0.033178,            0.065558,           0.0025658,             0.55556,            0.097962,            0.026033,            0.038465,            0.018411,            0.044205,            0.075353,           0.0023525,           0.0023525
                  14,            0.066495,            0.024175,            0.058019,           0.0025949,             0.55556,             0.06608,            0.018691,            0.039005,            0.017805,            0.043472,            0.073498,           0.0024981,           0.0024981
                  15,            0.079711,            0.038116,            0.060966,           0.0032464,             0.77778,            0.027788,            0.008188,            0.032129,            0.017888,            0.042755,             0.07164,           0.0026396,           0.0026396
                  16,            0.054488,            0.021999,            0.043064,           0.0041413,             0.94444,            0.045799,            0.012604,            0.031424,            0.017132,            0.041962,            0.069777,           0.0027773,           0.0027773
                  17,            0.034155,            0.018516,            0.033187,            0.004457,                   1,            0.039654,             0.01183,            0.028982,            0.016775,             0.04184,            0.067911,           0.0029109,           0.0029109
                  18,             0.04426,            0.018834,            0.040802,           0.0045026,                   1,            0.035919,            0.010592,            0.028883,            0.016601,             0.04184,            0.066041,           0.0030407,           0.0030407
                  19,            0.064923,            0.027401,            0.058935,           0.0044368,                   1,            0.055351,            0.012977,            0.027824,            0.016308,            0.041748,            0.064166,           0.0031664,           0.0031664
                  20,            0.063039,            0.023486,            0.052479,           0.0042513,                   1,            0.058614,            0.012025,            0.028389,            0.015882,            0.041702,            0.062288,           0.0032882,           0.0032882
                  21,            0.041184,            0.019016,            0.043894,           0.0042122,                   1,            0.095369,            0.040239,            0.027572,            0.015348,            0.041565,            0.060406,            0.003406,            0.003406
                  22,            0.059423,            0.027188,            0.052732,            0.004028,                   1,             0.17659,            0.065021,            0.027288,             0.01501,            0.042542,             0.05852,           0.0035199,           0.0035199
                  23,            0.052399,            0.026301,            0.052172,           0.0039934,                   1,             0.13344,            0.039073,            0.029248,            0.014389,            0.043304,             0.05663,           0.0036298,           0.0036298
                  24,            0.046328,            0.017715,            0.045001,           0.0039016,                   1,            0.066534,            0.017051,            0.031754,            0.013414,            0.042984,            0.054736,           0.0037358,           0.0037358
                  25,            0.053392,            0.036473,            0.051905,           0.0041641,                   1,             0.17687,            0.044436,             0.03633,            0.012811,            0.043091,            0.052838,           0.0038378,           0.0038378
                  26,            0.045343,            0.018728,            0.050809,           0.0047506,                   1,            0.033871,            0.012383,            0.039671,            0.011647,            0.044327,            0.050936,           0.0039358,           0.0039358
                  27,            0.046891,            0.034944,             0.05139,           0.0026139,             0.46296,             0.06562,            0.016698,             0.03951,            0.011116,            0.043671,             0.04903,           0.0040299,           0.0040299
                  28,            0.054595,            0.023098,             0.05218,           0.0022934,             0.40741,            0.036645,           0.0071528,            0.041322,            0.010784,            0.044205,             0.04712,             0.00412,             0.00412
                  29,            0.045375,            0.031777,            0.048146,           0.0028959,                 0.5,            0.030201,            0.010028,            0.040497,            0.011314,            0.044373,            0.045206,           0.0042061,           0.0042061
                  30,            0.037805,            0.017533,            0.040741,           0.0030411,             0.68519,            0.044304,           0.0077766,            0.039136,            0.010869,            0.044373,            0.043288,           0.0042883,           0.0042883
                  31,            0.045876,             0.02516,            0.050929,           0.0033935,             0.71296,            0.062159,            0.015327,             0.03857,            0.010979,            0.043884,            0.041367,           0.0043665,           0.0043665
                  32,            0.047232,            0.018961,            0.053611,           0.0035802,             0.84259,            0.057445,            0.011386,            0.038137,            0.011094,            0.044449,            0.039441,           0.0044408,           0.0044408
                  33,            0.048363,            0.017926,              0.0518,           0.0028956,             0.58333,            0.052749,            0.015891,            0.038298,            0.010706,            0.045029,            0.037511,           0.0045111,           0.0045111
                  34,            0.044655,            0.019719,            0.050232,           0.0039722,             0.92593,                0.05,            0.022838,            0.034843,            0.011221,            0.044907,            0.035577,           0.0045775,           0.0045775
                  35,            0.035174,            0.014347,             0.03903,           0.0033321,             0.62963,             0.01862,           0.0052353,            0.038004,            0.010149,            0.045151,             0.03364,           0.0046399,           0.0046399
                  36,            0.040899,            0.016016,            0.048829,           0.0042399,             0.96296,             0.11345,            0.032331,            0.034162,            0.010283,              0.0448,            0.031698,           0.0046983,           0.0046983
                  37,            0.026616,             0.01368,             0.02848,           0.0039493,             0.83333,            0.027247,           0.0079122,            0.037644,           0.0092835,            0.044785,            0.029753,           0.0047528,           0.0047528
                  38,            0.039154,            0.014379,            0.047348,           0.0047511,                   1,            0.056507,            0.019456,            0.036536,           0.0094969,            0.044495,            0.027803,           0.0048033,           0.0048033
                  39,            0.035912,            0.014759,            0.040911,           0.0046555,             0.94444,            0.049113,           0.0093299,            0.034053,           0.0093234,            0.044067,             0.02585,           0.0048498,           0.0048498
                  40,            0.050493,            0.022818,             0.04912,           0.0046121,             0.88889,             0.12499,            0.024631,             0.03949,           0.0088446,            0.043701,            0.023892,           0.0048924,           0.0048924
                  41,            0.043059,            0.015375,             0.04789,           0.0044861,                   1,            0.099501,            0.034921,            0.033874,           0.0094628,             0.04245,            0.021931,            0.004931,            0.004931
                  42,            0.045395,            0.018582,            0.050404,             0.64275,             0.17593,             0.13731,            0.023583,            0.032703,           0.0088027,            0.042038,            0.019966,           0.0049657,           0.0049657
                  43,            0.045997,            0.035081,            0.049839,             0.64158,             0.21296,             0.24569,            0.096209,            0.028211,           0.0089781,            0.042084,            0.017996,           0.0049964,           0.0049964
                  44,            0.038567,            0.015789,            0.051853,             0.62781,             0.21296,             0.19179,            0.068109,            0.025753,           0.0093002,            0.041626,            0.016023,           0.0050232,           0.0050232
                  45,            0.045344,            0.012531,            0.049838,             0.61952,             0.22344,             0.24422,             0.13525,            0.022543,           0.0088863,            0.041626,            0.014046,            0.005046,            0.005046
                  46,            0.038696,            0.015082,            0.048243,             0.33826,             0.40741,             0.28169,             0.12216,            0.024556,           0.0085773,            0.042023,            0.012065,           0.0050648,           0.0050648
                  47,            0.044611,            0.014035,            0.047986,             0.27151,             0.26852,             0.19103,            0.062883,            0.032672,           0.0084286,            0.042206,             0.01008,           0.0050797,           0.0050797
                  48,            0.038659,            0.013559,            0.051248,             0.34553,             0.40207,             0.36243,             0.13296,            0.028004,            0.008626,              0.0439,           0.0080906,           0.0050906,           0.0050906
                  49,            0.028535,           0.0098114,            0.028893,            0.062613,             0.76868,             0.18746,            0.063075,            0.031553,           0.0081587,            0.044357,           0.0060975,           0.0050975,           0.0050975
                  50,            0.037106,            0.018666,            0.048444,              0.3093,             0.35217,              0.3467,               0.127,            0.025691,           0.0085487,            0.043564,             0.00505,             0.00505,             0.00505
                  51,            0.030154,            0.012944,             0.03909,             0.33928,              0.5463,             0.43165,             0.19419,              0.0221,           0.0089552,             0.04303,             0.00505,             0.00505,             0.00505
                  52,            0.037197,            0.013392,            0.041322,             0.34528,             0.57252,             0.43182,             0.18535,            0.026032,           0.0085661,             0.04274,            0.004951,            0.004951,            0.004951
                  53,            0.040301,            0.025239,            0.049429,             0.31149,             0.48148,             0.42981,             0.18816,            0.029703,           0.0083265,            0.042587,            0.004852,            0.004852,            0.004852
                  54,            0.038045,            0.012389,            0.049767,             0.35188,             0.62963,             0.49937,             0.25611,            0.026361,           0.0079424,            0.042068,            0.004753,            0.004753,            0.004753
                  55,            0.040305,            0.014839,            0.049338,             0.35939,             0.56557,             0.41648,             0.19578,            0.034816,           0.0074914,            0.041534,            0.004654,            0.004654,            0.004654
                  56,            0.034247,            0.011441,            0.047179,             0.24712,             0.77778,             0.33624,             0.19085,             0.02454,           0.0074875,            0.042221,            0.004555,            0.004555,            0.004555
                  57,            0.035324,            0.013382,            0.052024,             0.25069,             0.62963,             0.46141,             0.17426,             0.02831,           0.0072691,            0.041794,            0.004456,            0.004456,            0.004456
                  58,            0.035405,            0.015604,            0.048291,             0.25974,             0.74074,             0.38808,             0.14816,            0.025339,           0.0072861,             0.04248,            0.004357,            0.004357,            0.004357
                  59,            0.058926,            0.021016,            0.057039,             0.25106,             0.53491,             0.40314,              0.2133,            0.021522,           0.0072432,            0.042221,            0.004258,            0.004258,            0.004258
                  60,            0.033615,            0.012781,            0.050205,             0.47013,             0.57407,             0.38372,             0.18556,            0.021029,           0.0071528,             0.04274,            0.004159,            0.004159,            0.004159
                  61,            0.033868,            0.011942,            0.045308,             0.51788,             0.40741,             0.37969,             0.17998,            0.028263,           0.0070429,            0.042694,             0.00406,             0.00406,             0.00406
                  62,            0.040024,            0.020534,            0.050332,             0.36815,             0.37963,             0.36129,             0.13482,            0.026228,           0.0074787,            0.043365,            0.003961,            0.003961,            0.003961
                  63,            0.031304,            0.010272,            0.033932,             0.41782,             0.34085,             0.36014,             0.12921,            0.026351,           0.0078812,            0.042236,            0.003862,            0.003862,            0.003862
                  64,             0.04584,            0.011506,            0.049254,             0.40297,             0.35101,             0.41507,             0.23362,            0.022607,           0.0085239,            0.041855,            0.003763,            0.003763,            0.003763
                  65,            0.036005,            0.020746,            0.047913,             0.32154,             0.28704,             0.27951,             0.08107,            0.032057,           0.0082569,            0.041748,            0.003664,            0.003664,            0.003664
                  66,            0.053391,            0.014929,            0.059386,             0.35619,             0.27039,             0.30338,             0.10299,            0.028706,           0.0090942,            0.042084,            0.003565,            0.003565,            0.003565
                  67,            0.045534,            0.023668,             0.05914,             0.32567,             0.27219,             0.25255,             0.10801,             0.02617,           0.0093479,            0.042389,            0.003466,            0.003466,            0.003466
                  68,            0.034881,            0.011156,            0.053426,             0.36128,             0.31481,             0.29069,             0.13789,            0.028171,           0.0088978,            0.043137,            0.003367,            0.003367,            0.003367
                  69,            0.041141,             0.01121,            0.049831,             0.31376,             0.39237,             0.34043,             0.19197,            0.026229,           0.0081024,            0.043228,            0.003268,            0.003268,            0.003268
                  70,            0.033001,             0.01379,            0.043761,             0.32861,             0.53704,             0.39524,             0.20234,            0.024758,           0.0077896,            0.043365,            0.003169,            0.003169,            0.003169
                  71,            0.032348,            0.013782,            0.048024,             0.28948,             0.53704,             0.40427,             0.15866,            0.030009,           0.0076847,            0.043488,             0.00307,             0.00307,             0.00307
                  72,             0.02575,            0.009667,            0.038458,             0.20631,             0.42533,             0.33667,             0.14664,            0.033491,            0.007328,            0.043671,            0.002971,            0.002971,            0.002971
                  73,            0.032509,            0.012878,            0.049811,             0.21706,             0.47222,             0.43699,             0.25952,            0.027589,            0.007431,            0.043808,            0.002872,            0.002872,            0.002872
                  74,            0.032008,            0.013841,            0.046831,             0.28694,             0.53704,             0.49427,             0.24714,            0.028095,           0.0074482,            0.044113,            0.002773,            0.002773,            0.002773
                  75,            0.032097,            0.018147,            0.047632,             0.32282,              0.5001,             0.49231,             0.30113,            0.024982,           0.0076408,            0.043961,            0.002674,            0.002674,            0.002674
                  76,            0.025719,            0.011736,             0.03458,             0.28696,             0.52778,             0.39804,             0.24684,            0.027873,            0.007494,            0.044479,            0.002575,            0.002575,            0.002575
                  77,            0.031959,            0.012656,            0.048574,             0.29203,             0.53766,             0.42999,             0.24642,            0.025028,           0.0072689,            0.043961,            0.002476,            0.002476,            0.002476
                  78,             0.02662,            0.010463,            0.046023,             0.37095,             0.60373,             0.51369,             0.33462,            0.022421,           0.0070591,            0.043808,            0.002377,            0.002377,            0.002377
                  79,            0.039257,            0.030696,            0.063198,             0.36311,             0.53704,             0.54605,             0.29378,            0.023452,           0.0068378,            0.043076,            0.002278,            0.002278,            0.002278
                  80,            0.034374,            0.011448,              0.0462,             0.37615,             0.62963,              0.6324,             0.41613,            0.021429,           0.0066586,            0.042755,            0.002179,            0.002179,            0.002179
                  81,            0.034912,            0.012395,            0.046259,             0.64475,             0.38889,             0.58033,             0.29369,            0.023764,           0.0065575,            0.042587,             0.00208,             0.00208,             0.00208
                  82,            0.025257,           0.0094436,            0.044201,             0.65164,             0.38889,             0.59665,             0.41657,            0.022247,           0.0065117,            0.042099,            0.001981,            0.001981,            0.001981
                  83,            0.038013,            0.024245,            0.056839,             0.36736,             0.62704,             0.56854,             0.30152,            0.022131,           0.0065813,            0.042007,            0.001882,            0.001882,            0.001882
                  84,            0.030779,           0.0097176,            0.043378,             0.37829,             0.62963,             0.57533,             0.34224,            0.021573,           0.0063896,            0.041656,            0.001783,            0.001783,            0.001783
                  85,            0.019637,            0.008154,            0.033347,             0.37509,             0.65939,             0.58209,             0.39023,            0.018342,           0.0064526,            0.041367,            0.001684,            0.001684,            0.001684
                  86,            0.022621,            0.009473,            0.036737,             0.36251,              0.6805,             0.57726,             0.39934,            0.017455,           0.0063133,               0.041,            0.001585,            0.001585,            0.001585
                  87,            0.024283,            0.015695,            0.047822,             0.36263,             0.67742,             0.57907,             0.33851,            0.018828,           0.0061626,            0.041107,            0.001486,            0.001486,            0.001486
                  88,            0.025491,            0.010059,            0.037239,              0.3616,             0.67569,             0.56936,             0.37671,            0.017857,            0.006052,            0.040771,            0.001387,            0.001387,            0.001387
                  89,            0.046445,            0.021135,            0.058174,             0.36063,             0.67797,             0.56114,             0.36559,            0.017362,           0.0059347,            0.040268,            0.001288,            0.001288,            0.001288
                  90,             0.03188,            0.019567,            0.046537,             0.36113,              0.6748,             0.55666,             0.35667,            0.018261,           0.0058374,            0.040085,            0.001189,            0.001189,            0.001189
                  91,            0.024855,            0.012755,            0.044383,             0.38329,              0.7958,             0.56221,             0.41429,            0.016114,           0.0058174,            0.039597,             0.00109,             0.00109,             0.00109
                  92,             0.03783,            0.013771,            0.054852,              0.3265,              0.7963,             0.49138,             0.31624,            0.018229,           0.0057049,            0.039215,            0.000991,            0.000991,            0.000991
                  93,            0.026563,            0.011479,            0.047709,             0.31583,              0.7963,              0.4811,             0.34358,             0.01619,           0.0056324,            0.038788,            0.000892,            0.000892,            0.000892
                  94,            0.022425,            0.010687,            0.040246,             0.32187,              0.7963,             0.47218,             0.32056,            0.016609,           0.0057039,            0.038651,            0.000793,            0.000793,            0.000793
                  95,            0.028871,            0.017563,            0.044639,             0.33405,              0.7963,             0.47383,             0.32234,            0.016641,           0.0057116,            0.038544,            0.000694,            0.000694,            0.000694
                  96,            0.030193,            0.011819,            0.046341,             0.32413,             0.79677,             0.48824,             0.34329,             0.01608,           0.0057163,            0.038239,            0.000595,            0.000595,            0.000595
                  97,            0.021135,           0.0075622,            0.041246,             0.32491,              0.7963,             0.50361,             0.34636,            0.016024,           0.0058012,            0.038147,            0.000496,            0.000496,            0.000496
                  98,            0.030162,            0.014443,            0.041675,             0.35116,             0.81665,             0.49547,             0.33097,            0.016912,           0.0058575,            0.038101,            0.000397,            0.000397,            0.000397
                  99,             0.02681,            0.010259,             0.04493,              0.3346,             0.82407,             0.50014,             0.34153,            0.016804,           0.0058746,            0.037918,            0.000298,            0.000298,            0.000298
