               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10118,            0.027034,             0.06006,                   0,                   0,                   0,                   0,            0.068499,             0.02279,            0.042744,              0.0964,              0.0004,              0.0004
                   1,             0.10734,            0.027286,            0.062746,           0.0012626,            0.055556,           0.0032167,          0.00096501,            0.056139,            0.022337,            0.042316,            0.091897,          0.00089703,          0.00089703
                   2,            0.089563,            0.028629,            0.056001,           0.0029362,                0.25,            0.015654,           0.0090487,            0.043226,            0.021731,            0.042162,            0.087391,           0.0013908,           0.0013908
                   3,            0.079638,            0.026551,             0.05731,           0.0025828,             0.35185,            0.013721,           0.0058559,            0.038639,            0.021246,            0.042483,            0.082881,           0.0018812,           0.0018812
                   4,             0.07455,            0.026441,             0.05783,           0.0024444,             0.38889,            0.046627,            0.013147,             0.03593,            0.020344,            0.042973,            0.078368,           0.0023683,           0.0023683
                   5,            0.065159,            0.031329,            0.052094,           0.0031841,             0.74074,            0.065278,            0.021857,            0.032266,             0.01994,            0.043345,            0.073852,           0.0028522,           0.0028522
                   6,            0.071369,            0.025451,            0.057047,           0.0036643,             0.80556,             0.01606,           0.0046306,            0.029622,            0.018861,            0.043447,            0.069333,           0.0033327,           0.0033327
                   7,            0.052841,            0.029408,            0.046603,           0.0038802,             0.97222,            0.027222,           0.0063003,            0.028173,            0.017596,            0.043395,             0.06481,           0.0038099,           0.0038099
                   8,            0.059192,            0.026116,            0.053195,            0.003859,             0.94444,            0.098653,            0.038383,            0.030777,            0.015347,            0.043765,            0.060284,           0.0042838,           0.0042838
                   9,            0.048257,            0.024311,            0.051715,            0.003791,             0.94444,            0.089492,            0.034076,            0.031836,            0.014093,            0.042621,            0.055754,           0.0047545,           0.0047545
                  10,            0.042946,            0.020899,            0.044974,           0.0040178,                   1,             0.17725,            0.028689,            0.029186,            0.014118,            0.042955,            0.051222,           0.0052218,           0.0052218
                  11,            0.045633,            0.021063,            0.044855,           0.0038781,                   1,            0.055833,            0.010896,            0.037635,            0.012381,            0.043139,            0.046686,           0.0056858,           0.0056858
                  12,            0.053642,            0.027728,            0.059174,            0.003775,                   1,             0.17177,            0.052314,            0.033264,            0.013754,            0.041868,            0.042147,           0.0061466,           0.0061466
                  13,            0.047411,            0.018874,            0.054129,           0.0037398,                   1,              0.1891,            0.060401,            0.028384,            0.013721,            0.041546,            0.037604,            0.006604,            0.006604
                  14,            0.043011,            0.019465,            0.048528,           0.0039382,                   1,             0.20567,            0.079191,            0.027815,            0.014265,            0.041974,            0.033058,           0.0070581,           0.0070581
                  15,            0.051546,            0.023312,            0.057022,            0.012083,             0.90741,             0.21222,              0.1023,            0.027731,            0.013423,            0.042055,            0.028509,           0.0075089,           0.0075089
